id,schoolName,location,tags,urls,cert
1564,福建水利电力职业技术学院,福建三明市,专科（高职）;理工类;公办,https://www.fjsdxy.com/zs/;https://www.fjsdxy.com/,NULL
1565,厦门海洋职业技术学院,福建厦门市,专科（高职）;综合类;公办,http://zs.xmoc.edu.cn/;http://www.xmoc.edu.cn/,NULL
1566,福建农业职业技术学院,福建福州市,专科（高职）;农林类;公办,https://zsb.fjny.edu.cn/;http://www.fjny.edu.cn,NULL
1567,福建卫生职业技术学院,福建福州市,专科（高职）;医药类;公办,https://www.fjwzy.cn/zsw/;https://www.fjwzy.edu.cn/,NULL
1568,闽北职业技术学院,福建南平市,专科（高职）;综合类;公办,https://www.mbu.cn/zjc/;http://www.mbu.cn,NULL
1569,泉州经贸职业技术学院,福建泉州市,专科（高职）;财经类;公办,http://zs.qzjmc.edu.cn/;https://www.qzjmc.cn/,NULL
1570,湄洲湾职业技术学院,福建莆田市,专科（高职）;理工类;公办;现代学徒制试点院校,http://zs.mzwu.edu.cn/;http://www.fjmzw.com/,NULL
1571,福建生物工程职业技术学院,福建福州市,专科（高职）;医药类;公办;现代学徒制试点院校,http://www.fjvcb.cn/zs/;http://www.fjvcb.cn,NULL
1572,福建艺术职业学院,福建福州市,专科（高职）;艺术类;公办,http://www.fjyszyxy.com/;http://www.fjyszyxy.com,NULL
1573,厦门城市职业学院,福建厦门市,专科（高职）;综合类;公办,https://zsb.xmcu.edu.cn/;https://www.xmcu.edu.cn/,NULL
1574,泉州工艺美术职业学院,福建泉州市,专科（高职）;艺术类;公办;现代学徒制试点院校,http://www.qzgymy.cn/zszt/;http://www.qzgymy.cn/,NULL
1575,三明医学科技职业学院,福建三明市,专科（高职）;综合类;公办;现代学徒制试点院校,http://zs.smykzy.cn/;http://www.smykzy.cn,NULL
1576,宁德职业技术学院,福建宁德市,专科（高职）;综合类;公办,https://www.ndzy.cn/zsw;https://www.ndzy.cn/,NULL
1577,福建体育职业技术学院,福建福州市,专科（高职）;体育类;公办,http://www.fjipe.cn/html/zsjy.htm?item=1;http://www.fjipe.cn,NULL
1578,漳州城市职业学院,福建漳州市,专科（高职）;综合类;公办,http://zsb.zcvc.cn/;http://www.zcvc.cn/,NULL
1579,漳州卫生职业学院,福建漳州市,专科（高职）;医药类;公办,http://www.zzwzy.com/zsc/;http://www.zzwzy.edu.cn/,NULL
1580,厦门大学嘉庚学院,福建漳州市,普通本科;综合类;民办,http://zsb.xujc.com;https://www.xujc.com/,NULL
1581,阳光学院,福建福州市,普通本科;综合类;民办,http://zsb.ygu.edu.cn/;http://www.ygu.edu.cn,NULL
1582,福建师范大学协和学院,福建福州市,普通本科;综合类;民办,http://cuc.fjnu.edu.cn/zs/;http://cuc.fjnu.edu.cn/,NULL
1583,福州工商学院,福建福州市,普通本科;财经类;民办,https://zhaosheng.fzgsxy.edu.cn/;https://www.fzgsxy.edu.cn/,NULL
1584,闽南科技学院,福建泉州市,普通本科;理工类;民办,http://zsw.mku.edu.cn/;http://www.mku.edu.cn/,NULL
1585,福州大学至诚学院,福建福州市,普通本科;综合类;民办,http://zsb.fdzcxy.com;https://www.fdzcxy.edu.cn/,NULL
1586,福建农林大学金山学院,福建福州市,普通本科;综合类;民办,http://jsxy.fafu.edu.cn/jszsb/;http://jsxy.fafu.edu.cn/,NULL
1587,闽南理工学院,福建泉州市,普通本科;理工类;民办,http://zs.mnust.edu.cn/;http://www.mnust.edu.cn/,NULL
1588,福州英华职业学院,福建福州市,专科（高职）;语言类;民办,http://fzacc.jlkj.net.cn:8080/channels/190.html;http://fzacc.jlkj.net.cn:8080/,NULL
1589,厦门华厦学院,福建厦门市,普通本科;综合类;民办,http://zsb.hxxy.edu.cn;https://www.hxxy.edu.cn/,NULL
1590,泉州纺织服装职业学院,福建泉州市,专科（高职）;综合类;民办,http://www.qzfzfz.com/zsw;https://www.qzfzfz.com/,NULL
1591,福建华南女子职业学院,福建福州市,专科（高职）;其他;民办,https://www.hnwomen.com/zs/main.htm;http://www.hnwomen.com.cn/,NULL
1592,厦门演艺职业学院,福建厦门市,专科（高职）;艺术类;民办,https://www.xmyanyi.com/index.php?c=category&id=10;http://www.xmyanyi.com/,NULL
1593,武夷山职业学院,福建南平市,专科（高职）;综合类;民办,http://www.wyszyxy.com,NULL
1594,泉州海洋职业学院,福建泉州市,专科（高职）;理工类;民办,https://zsw.qzoiedu.com/index.jsp;http://www.qzoiedu.com,NULL
1595,泉州职业技术大学,福建泉州市,普通本科;综合类;民办,http://www.qvtu.edu.cn/zsw/;http://www.qvtu.edu.cn/,NULL
1596,厦门南洋职业学院,福建厦门市,专科（高职）;综合类;民办,http://zs.ny2000.cn/cn/index.htm;http://www.ny2000.com,NULL
1597,漳州科技职业学院,福建漳州市,专科（高职）;综合类;民办,http://www.tftc.edu.cn/zsc/;https://www.tftc.edu.cn/,NULL
1598,厦门东海职业技术学院,福建厦门市,专科（高职）;综合类;民办,http://ejxy.xmdh.com/zsb/;http://www.xmdh.com,NULL
1599,厦门软件职业技术学院,福建厦门市,专科（高职）;理工类;民办,http://zs.xmist.edu.cn;http://www.xmist.edu.cn/,NULL
1600,厦门兴才职业技术学院,福建厦门市,专科（高职）;综合类;民办,http://zsb.xmxc.com/;http://www.xmxc.com,NULL
1601,泉州信息工程学院,福建泉州市,普通本科;理工类;民办,http://www.qziedu.cn/zhaoshenggongzuo/;http://www.qziedu.cn,NULL
1602,漳州理工职业学院,福建漳州市,专科（高职）;理工类;民办,https://www.zzlg.org/student.asp;https://www.zzlg.org/,NULL
1603,泉州华光职业学院,福建泉州市,专科（高职）;综合类;民办,https://www.hgu.cn/lanmu/7.html;https://www.hgu.cn/,NULL
1604,福州理工学院,福建福州市,普通本科;理工类;民办,http://admissions.fit.edu.cn/;http://www.fit.edu.cn,NULL
1605,福州软件职业技术学院,福建福州市,专科（高职）;综合类;民办,https://zsw.fzrjxy.com/;http://www.fzrjxy.com,NULL
1606,福州科技职业技术学院,福建福州市,专科（高职）;理工类;民办,https://fzstc.com.cn/?list_50/;http://www.fzstc.com.cn/,NULL
1607,西藏警官高等专科学校,西藏拉萨市,专科（高职）;师范类;公办,,NULL
1608,拉萨师范高等专科学校,西藏拉萨市,专科（高职）;师范类;公办,http://www.xzlssf.org/zhaosheng/;http://www.xzlssf.org,NULL
1609,西藏职业技术学院,西藏拉萨市,专科（高职）;综合类;公办;国家示范性高等职业院校,https://www.xzgzy.cn/zsjy/;https://www.xzgzy.cn/,NULL
1610,新乡学院,河南新乡市,普通本科;综合类;公办,http://zs.xxu.edu.cn/;http://www.xxu.edu.cn/,NULL
1611,河南财政金融学院,河南郑州市,普通本科;财经类;公办,https://zsjyc.hafu.edu.cn/;http://www.hafu.edu.cn/,NULL
1612,焦作师范高等专科学校,河南焦作市,专科（高职）;师范类;公办,http://zs.jzsz.edu.cn/;http://www.jzsz.edu.cn/,NULL
1613,郑州工程技术学院,河南郑州市,普通本科;理工类;公办,https://zs.zzut.edu.cn/;https://www.zzut.edu.cn/,NULL
1614,焦作大学,河南焦作市,专科（高职）;综合类;公办,https://zs.jzu.edu.cn/;http://www.jzu.edu.cn,NULL
1615,黄河水利职业技术学院,河南开封市,专科（高职）;理工类;公办;国家示范性高等职业院校;现代学徒制试点院校;高水平学校建设单位（A档）,http://zhaosheng.yrcti.edu.cn/;http://www.yrcti.edu.cn,NULL
1616,许昌职业技术学院,河南许昌市,专科（高职）;综合类;公办;现代学徒制试点院校;高水平专业群建设单位（B档）,http://zsjy.xcitc.edu.cn/;http://www.xcitc.edu.cn,NULL
1617,商丘职业技术学院,河南商丘市,专科（高职）;综合类;公办;国家示范性高等职业院校,http://zhaoban.sqzy.edu.cn/;http://www.sqzy.edu.cn/,NULL
1618,周口职业技术学院,河南周口市,专科（高职）;理工类;公办,http://zkvtczs.university-hr.com;http://www.zkvtc.edu.cn/,NULL
1619,济源职业技术学院,河南省直辖县级行政区划,专科（高职）;综合类;公办;现代学徒制试点院校,https://www.jyvtc.edu.cn/zs/index.html;https://www.jyvtc.edu.cn/,NULL
1620,河南司法警官职业学院,河南郑州市,专科（高职）;政法类;公办,http://zsjy.hnsfjy.net/;http://www.hnsfjy.net,NULL
1621,河南检察职业学院,河南郑州市,专科（高职）;政法类;公办,https://zsjy.hnjc.edu.cn/;https://www.hnjc.edu.cn/,NULL
1622,河南质量工程职业学院,河南平顶山市,专科（高职）;理工类;公办,http://zsbgs.zlxy.edu.cn/;http://www.zlxy.edu.cn/,NULL
1623,郑州信息科技职业学院,河南郑州市,专科（高职）;理工类;公办;现代学徒制试点院校,http://hnou.open.ha.cn/zxzsw/index.aspx;http://www.techcollege.cn,NULL
1624,信阳职业技术学院,河南信阳市,专科（高职）;综合类;公办,http://xyzb.xyvtc.edu.cn;http://www.xyvtc.edu.cn/,NULL
1625,郑州工业安全职业学院,河南郑州市,专科（高职）;理工类;公办,http://www.zazy.cn/News/ZhaoShengJiuYeChu/;http://www.zazy.cn,NULL
1626,永城职业学院,河南商丘市,专科（高职）;综合类;公办,http://zsjy.ycvc.edu.cn/;http://www.ycvc.edu.cn/,NULL
1627,河南经贸职业学院,河南郑州市,专科（高职）;财经类;公办;现代学徒制试点院校,http://zs.hnjmxy.cn/;https://www.henetc.edu.cn/,NULL
1628,河南交通职业技术学院,河南郑州市,专科（高职）;理工类;公办,http://zszx.hncc.edu.cn/;http://www.hncc.edu.cn/,NULL
1629,河南农业职业学院,河南郑州市,专科（高职）;农林类;公办;国家级骨干;现代学徒制试点院校;高水平专业群建设单位（B档）,http://www.hnca.edu.cn/zsjyc/;http://www.hnca.edu.cn/,NULL
1630,郑州职业技术学院,河南郑州市,专科（高职）;理工类;公办,http://www.zzyedu.cn/zsxxw/main.htm;http://www.zzyedu.cn,NULL
1631,河南工业贸易职业学院,河南郑州市,专科（高职）;财经类;公办,http://www.hngm.edu.cn/zsc/;http://www.hngm.edu.cn/,NULL
1632,新乡医学院三全学院,河南新乡市,普通本科;医药类;民办,http://zs.sqmc.edu.cn/;https://www.sqmc.edu.cn/,NULL
1633,郑州澍青医学高等专科学校,河南郑州市,专科（高职）;医药类;民办,http://www.zzsqmc.edu.cn/zzjg/hzjg/zsc;http://www.zzsqmc.edu.cn/,NULL
1634,嵩山少林武术职业学院,河南郑州市,专科（高职）;综合类;民办,http://shaolinkungfu.edu.cn/Department/index/department_id/40.html;https://www.shaolinkungfu.edu.cn/,NULL
